1,1,1,1,1,1,1
3.00, 4.00, 0.00, 4.00, 35.00, 1.00, 1.00 
2.00, 6.00, 0.00, 4.00, 35.00, 1.00, 0.00 
3.00, 4.00, 0.00, 4.00, 35.00, 2.00, 0.00 
1.00, 4.00, 0.00, 4.00, 35.00, 3.00, 1.00 
2.00, 4.00, 0.00, 4.00, 35.00, 1.00, 1.00 
1.00, 4.00, 0.00, 4.00, 35.00, 1.00, 0.00 
1.00, 5.00, 1.00, 3.00, 35.00, 1.00, 0.00 
1.00, 6.00, 5.00, 3.00, 35.00, 2.00, 0.00 
2.00, 6.00, 0.00, 3.00, 35.00, 1.00, 1.00 
1.00, 4.00, 0.00, 2.00, 35.00, 1.00, 0.00 
2.00, 9.00, 0.00, 2.00, 35.00, 1.00, 1.00 
1.00, 3.00, 1.00, 4.00, 45.00, 1.00, 1.00 
1.00, 7.00, 0.00, 4.00, 45.00, 1.00, 0.00 
1.00, 2.00, 1.00, 4.00, 45.00, 1.00, 1.00 
1.00, 2.00, 1.00, 4.00, 45.00, 1.00, 0.00 
2.00, 2.00, 0.00, 4.00, 45.00, 1.00, 1.00 
1.00, 2.00, 1.00, 4.00, 45.00, 1.00, 1.00 
1.00, 2.00, 1.00, 4.00, 45.00, 1.00, 1.00 
1.00, 3.00, 2.00, 4.00, 45.00, 2.00, 0.00 
1.00, 2.00, 1.00, 4.00, 45.00, 1.00, 0.00 
1.00, 3.00, 1.00, 4.00, 45.00, 1.00, 0.00 
5.00, 6.00, 0.00, 4.00, 45.00, 2.00, 0.00 
1.00, 3.00, 2.00, 4.00, 45.00, 1.00, 0.00 
1.00, 2.00, 1.00, 9.00, 35.00, 1.00, 0.00 
1.00, 2.00, 1.00, 9.00, 35.00, 1.00, 0.00 
2.00, 1.00, 0.00, 9.00, 35.00, 1.00, 0.00 
1.00, 2.00, 1.00, 9.00, 35.00, 1.00, 0.00 
1.00, 1.00, 0.00, 9.00, 35.00, 1.00, 0.00 
1.00, 2.00, 1.00, 7.00, 35.00, 1.00, 0.00 
1.00, 1.00, 0.00, 6.00, 35.00, 1.00, 0.00 
2.00, 2.00, 0.00, 6.00, 35.00, 1.00, 0.00 
1.00, 3.00, 1.00, 6.00, 35.00, 1.00, 0.00 
3.00, 3.00, 0.00, 6.00, 35.00, 1.00, 0.00 
2.00, 3.00, 0.00, 6.00, 35.00, 1.00, 0.00 
1.00, 1.00, 0.00, 2.00, 70.00, 1.00, 0.00 
2.00, 2.00, 0.00, 2.00, 70.00, 1.00, 0.00 
6.00, 9.00, 0.00, 2.00, 70.00, 2.00, 0.00 
1.00, 1.00, 0.00, 2.00, 70.00, 1.00, 0.00 
4.00, 25.00, 0.00, 2.00, 70.00, 2.00, 0.00 
1.00, 1.00, 0.00, 2.00, 70.00, 1.00, 0.00 
1.00, 1.00, 0.00, 2.00, 70.00, 1.00, 0.00 
1.00, 3.00, 0.00, 2.00, 70.00, 1.00, 0.00 
1.00, 6.00, 0.00, 2.00, 70.00, 3.00, 2.00 
1.00, 1.00, 0.00, 2.00, 70.00, 1.00, 0.00 
1.00, 8.00, 0.00, 2.00, 70.00, 1.00, 0.00 
1.00, 2.00, 0.00, 2.00, 70.00, 1.00, 2.00 
3.00, 5.00, 0.00, 2.00, 70.00, 1.00, 0.00 
1.00, 2.00, 0.00, 2.00, 70.00, 1.00, 0.00 
1.00, 1.00, 0.00, 2.00, 70.00, 1.00, 1.00
